"simKey","numFieldsInf","ngaBool","rank"
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7718-0",81092967.7818387,TRUE,246
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5641-0",83431199.3506829,TRUE,247
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8849-0",83537566.5712918,TRUE,248
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4362-0",83872833.2008802,TRUE,249
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2096-0",84387826.7691935,TRUE,250
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9332-0",88125095.0784885,TRUE,251
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6851-0",88566067.5349579,TRUE,252
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2051-0",89685503.5329798,TRUE,253
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job353-0",91797792.1184934,TRUE,254
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1748-0",93741689.9158205,TRUE,255
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9032-0",93993358.9783981,TRUE,256
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2490-0",94820727.4069499,TRUE,257
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4531-0",95009628.0114535,TRUE,258
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4711-0",95117182.015401,TRUE,259
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7685-0",95747042.1077881,TRUE,260
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8554-0",96145533.8308518,TRUE,261
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1455-0",98029737.7605966,TRUE,262
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3183-0",98479044.8061899,TRUE,263
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5367-0",98754070.8122559,TRUE,264
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8326-0",98862480.4405746,TRUE,265
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9145-0",99958563.118374,TRUE,266
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2825-0",101324556.024136,TRUE,267
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3748-0",102101523.816956,TRUE,268
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4267-0",102530777.929048,TRUE,269
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job497-0",105544197.888059,TRUE,270
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3656-0",106622108.18367,TRUE,271
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4216-0",108787823.171911,TRUE,272
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2687-0",109193177.674717,TRUE,273
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job7671-0",109742703.106583,TRUE,274
